order_id,account_id,bank_to,account_to,amount,k_symbol
29401,1,YZ,87144583,2452,MANAGEMENT
29402,2,ST,89597016,3373,LOAN
29403,2,QR,13943797,7266,MANAGEMENT
29404,3,WX,83084338,1135,MANAGEMENT
29405,3,CD,24485939,327,
29406,3,AB,59972357,3539,INSURANCE
29407,4,UV,26693541,2078,MANAGEMENT
29408,4,UV,5848086,1285,MANAGEMENT
29409,5,GH,37390208,2668,MANAGEMENT
29410,6,AB,44486999,3954,MANAGEMENT
29411,7,IJ,34452903,4880,MANAGEMENT
29412,8,UV,12510681,2612,MANAGEMENT
29413,8,IJ,93210345,6712,
29414,10,UV,18686104,7033,MANAGEMENT
29415,10,QR,93182509,1344,RENTAL
29416,11,ST,38470870,2132,MANAGEMENT
29417,12,CD,23010808,297,MANAGEMENT
29418,12,KL,63607060,3295,MANAGEMENT
29419,13,EF,35443323,2444,MANAGEMENT
29420,14,WX,11793136,3629,MANAGEMENT
29421,15,KL,24265569,3072,MANAGEMENT
29422,17,EF,15076423,4032,MANAGEMENT
29423,19,QR,14132368,2523,LOAN
29425,20,AB,3399968,2003,MANAGEMENT
29426,21,YZ,60152441,6276,MANAGEMENT
29427,22,ST,34691494,6352,MANAGEMENT
29428,23,MN,20774019,5807,MANAGEMENT
29429,24,IJ,50810194,221,MANAGEMENT
29430,24,QR,46086388,7641,
29431,25,YZ,1301700,2523,LOAN
29432,25,IJ,4896235,6817,MANAGEMENT
29433,25,AB,79838293,1110,
29434,25,WX,52864879,164,INSURANCE
29435,26,EF,12891853,10387,MANAGEMENT
29436,27,CD,28175699,4054,MANAGEMENT
29439,29,ST,32924878,6871,MANAGEMENT
29440,29,MN,93088209,829,
29441,29,UV,41335338,8,INSURANCE
29442,30,EF,66168540,2480,RENTAL
29443,31,ST,42430687,10202,MANAGEMENT
29444,33,KL,33047658,3892,MANAGEMENT
29445,34,WX,21845197,1479,RENTAL
29446,34,GH,19993174,502,MANAGEMENT
29447,34,IJ,58999049,6070,
29448,35,MN,56788617,1022,MANAGEMENT
29449,35,MN,99848401,1362,MANAGEMENT
29450,36,CD,80693810,4069,MANAGEMENT
29451,37,QR,71644407,5308,LOAN
29452,37,IJ,29728555,2317,MANAGEMENT
29453,37,OP,23782724,2584,
29454,37,YZ,89609831,97,INSURANCE
29455,38,QR,79067885,2307,LOAN
29456,38,EF,2692229,6901,MANAGEMENT
29457,38,KL,83435654,231,
29458,38,OP,64685678,228,INSURANCE
29459,39,CD,77015351,145,MANAGEMENT
29460,39,WX,949460,2970,MANAGEMENT
29461,40,ST,31161588,33,MANAGEMENT
29462,40,MN,96111678,4301,
29463,42,CD,1007766,4239,MANAGEMENT
29464,42,KL,55873340,239,
29465,42,YZ,38318204,1592,INSURANCE
29466,43,CD,89718746,6589,MANAGEMENT
29467,44,GH,11344862,2344,MANAGEMENT
29470,47,KL,76620852,6940,MANAGEMENT
29471,47,KL,37438374,174,
29472,47,EF,83359431,141,INSURANCE
29473,47,UV,30289006,9,
29474,48,AB,50218236,6268,MANAGEMENT
29475,48,ST,2071685,1029,
29476,49,CD,83233099,3102,MANAGEMENT
29477,50,WX,75148117,269,MANAGEMENT
29478,50,UV,17270559,7024,
29479,51,KL,71050131,2074,MANAGEMENT
29480,51,KL,74449389,2057,
29481,52,EF,6008005,560,MANAGEMENT
29482,52,QR,85721850,3723,
29483,53,MN,81024360,2851,MANAGEMENT
29484,54,IJ,90659772,2280,MANAGEMENT
29485,55,EF,53077900,3086,MANAGEMENT
29486,56,KL,73539948,8080,MANAGEMENT
29487,57,YZ,55066728,4107,MANAGEMENT
29489,59,IJ,38201576,695,MANAGEMENT
29490,59,ST,65394794,6190,
29493,61,EF,20533621,1645,MANAGEMENT
29494,61,IJ,20426410,668,MANAGEMENT
29495,62,EF,80010622,2273,MANAGEMENT
29496,63,CD,85474604,2237,MANAGEMENT
29497,63,EF,8346772,157,MANAGEMENT
29498,65,YZ,74934333,686,MANAGEMENT
29499,65,CD,20976132,3315,
29500,65,GH,7764506,3401,INSURANCE
29501,66,GH,17993182,4471,RENTAL
29502,67,YZ,45128363,6915,LOAN
29503,67,YZ,57342255,6393,MANAGEMENT
29504,67,UV,59079301,445,
29505,68,WX,86834001,1705,MANAGEMENT
29506,68,IJ,8292192,1186,
29507,68,ST,34692824,137,INSURANCE
29508,68,MN,92248808,61,
29509,70,KL,7699788,4150,MANAGEMENT
29510,71,YZ,53903484,968,MANAGEMENT
29511,71,IJ,11544728,1602,
29512,71,OP,9098768,1011,INSURANCE
29513,71,QR,34794885,778,
